01.01.2004 00:00:00	11.0	1.0	
02.01.2004 00:00:00	23.0	2.3	
03.01.2004 00:00:00	71.8	7.0	
04.01.2004 00:00:00	45.0	4.4	
05.01.2004 00:00:00	51.0	5.0	
06.01.2004 00:00:00	62.0	6.1	
07.01.2004 00:00:00	71.0	7.0	
08.01.2004 00:00:00	81.7	8.0	
09.01.2004 00:00:00	91.0	9.0	
10.01.2004 00:00:00	11.0	10.0	
11.01.2004 00:00:00	41.0	4.0	
12.01.2004 00:00:00	13.0	12.0	
13.01.2004 00:00:00	57.4	5.6	
14.01.2004 00:00:00	15.0	14.0	
15.01.2004 00:00:00	22.0	2.1	
16.01.2004 00:00:00	35.0	3.4	
17.01.2004 00:00:00	68.0	6.7	
18.01.2004 00:00:00	90.3	8.9	
19.01.2004 00:00:00	58.0	5.6	
20.01.2004 00:00:00	15.0	11.0	
21.01.2004 00:00:00	18.5	16.6	
