01.01.2004 00:00:00	1.0	
02.01.2004 00:00:00	2.3	
03.01.2004 00:00:00	7.0	
04.01.2004 00:00:00	4.4	
05.01.2004 00:00:00	5.0	
06.01.2004 00:00:00	6.1	
07.01.2004 00:00:00	7.0	
08.01.2004 00:00:00	8.0	
09.01.2004 00:00:00	9.0	
10.01.2004 00:00:00	10.0	
11.01.2004 00:00:00	4.0	
12.01.2004 00:00:00	12.0	
13.01.2004 00:00:00	5.6	
14.01.2004 00:00:00	14.0	
15.01.2004 00:00:00	2.1	
16.01.2004 00:00:00	3.4	
17.01.2004 00:00:00	6.7	
18.01.2004 00:00:00	8.9	
19.01.2004 00:00:00	5.6	
20.01.2004 00:00:00	11.0	
21.01.2004 00:00:00	16.6	
