n	0.05	0.01
3	1.1531	1.1546
4	1.4625	1.4925
5	1.6714	1.7489
6	1.8221	1.9442
7	1.9381	2.0973
8	2.0317	2.2208
9	2.1096	2.3231
10	2.1761	2.4097
11	2.2339	2.4843
12	2.2850	2.5494
13	2.3305	2.6070
14	2.3717	2.6585
15	2.4090	2.7049
16	2.4433	2.7470
17	2.4748	2.7854
18	2.5040	2.8208
19	2.5312	2.8535
20	2.5566	2.8838
25	2.6629	3.0086
30	2.7451	3.1029
40	2.8675	3.2395
50	2.9570	3.3366
60	3.0269	3.4111
70	3.0839	3.4710
80	3.1319	3.5208
90	3.1733	3.5632
100	3.2095	3.6002
120	3.2706	3.6619
140	3.3208	3.7121
160	3.3633	3.7542
180	3.4001	3.7904
200	3.4324	3.8220
300	3.5525	3.9385
400	3.6339	4.0166
500	3.6952	4.0749
600	3.7442	4.1214
